Title,Year_Won,Spiel_des_Jahres
Hare and Tortoise,1979,True
Rummikub,1980,True
Focus,1981,True
Enchanted Forest,1982,True
Scotland Yard,1983,True
Railway Rivals,1984,True
Sherlock Holmes: Consulting Detective,1985,True
Top Secret Spies,1986,True
Auf Achse,1987,True
Barbarossa,1988,True
Café International,1989,True
Adel Verpflichtet,1990,True
Drunter und Drüber,1991,True
Um Reifenbreite,1992,True
Call my Bluff,1993,True
Manhattan,1994,True
The Settlers of Catan,1995,True
El Grande,1996,True
Mississippi Queen,1997,True
Elfenland,1998,True
Tikal,1999,True
Torres,2000,True
Carcassonne,2001,True
Villa Paletti,2002,True
Alhambra,2003,True
Ticket to Ride,2004,True
Niagara,2005,True
Thurn and Taxis,2006,True
Zooloretto,2007,True
Keltis,2008,True
Dominion,2009,True
Dixit,2010,True
Qwirkle,2011,True
Kingdom Builder,2012,True
Hanabi,2013,True
Camel Up,2014,True
Colt Express,2015,True
Codenames,2016,True
Kingdomino,2017,True
Azul,2018,True
Just One,2019,True
Pictures,2020,True
MicroMacro: Crime City,2021,True
Cascadia,2022,True
Dorfromantik,2023,True
Sky Team,2024,True
Bomb Busters,2025,True
