Rank,Title,Year,Geek_Rating,Avg_Rating,Num_Voters,URL
1,Brass: Birmingham,2018,8.394,8.57,58037,https://boardgamegeek.com/boardgame/224517/brass-birmingham
2,Ark Nova,2021,8.355,8.54,60485,https://boardgamegeek.com/boardgame/342942/ark-nova
3,Pandemic Legacy: Season 1,2015,8.348,8.50,57277,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1
4,Gloomhaven,2017,8.299,8.54,67015,https://boardgamegeek.com/boardgame/174430/gloomhaven
5,Dune: Imperium – Uprising,2023,8.233,8.70,17977,https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising
6,Dune: Imperium,2020,8.224,8.41,58052,https://boardgamegeek.com/boardgame/316554/dune-imperium
7,Twilight Imperium: Fourth Edition,2017,8.219,8.56,28257,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition
8,War of the Ring: Second Edition,2011,8.198,8.55,25008,https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition
9,Terraforming Mars,2016,8.188,8.34,112678,https://boardgamegeek.com/boardgame/167791/terraforming-mars
10,Star Wars: Rebellion,2016,8.167,8.42,36237,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion
11,Spirit Island,2017,8.142,8.34,62711,https://boardgamegeek.com/boardgame/162886/spirit-island
12,Gloomhaven: Jaws of the Lion,2020,8.098,8.36,40898,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion
13,Gaia Project,2017,8.089,8.35,31149,https://boardgamegeek.com/boardgame/220308/gaia-project
14,Twilight Struggle,2005,8.041,8.23,51960,https://boardgamegeek.com/boardgame/12333/twilight-struggle
15,The Castles of Burgundy,2011,8.031,8.16,69333,https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy
16,SETI: Search for Extraterrestrial Intelligence,2024,8.022,8.42,18993,https://boardgamegeek.com/boardgame/418059/seti-search-for-extraterrestrial-intelligence
17,Slay the Spire: The Board Game,2024,8.020,8.65,12432,https://boardgamegeek.com/boardgame/338960/slay-the-spire-the-board-game
18,Through the Ages: A New Story of Civilization,2015,8.015,8.25,34746,https://boardgamegeek.com/boardgame/182028/through-the-ages-a-new-story-of-civilization
19,The Lord of the Rings: Duel for Middle-earth,2024,7.976,8.36,19305,https://boardgamegeek.com/boardgame/421006/the-lord-of-the-rings-duel-for-middle-earth
20,Great Western Trail,2016,7.975,8.15,43702,https://boardgamegeek.com/boardgame/193738/great-western-trail
21,Frosthaven,2022,7.972,8.74,10080,https://boardgamegeek.com/boardgame/295770/frosthaven
